#separator:tab
#html:true
#guid column:1
#tags column:4
jFRZ.jecz9	What is the <b>CIA Triad</b>, and what are the names of the three properties it defines?	The CIA Triad is a general set of Information Security (InfoSec) properties that any system&nbsp;processing, storing, or transmitting&nbsp;information must maintain to be secure. A given system will usually have to strike a balance between satisfying these 3 properties, as some may need to be prioritised more than others.<br><br>The three properties are:<br>-<b> C</b>onfidentiality<br>-<b> I</b>ntegrity<br>- <b>A</b>vailability	week1
"d8(#6f?[Ir"	In the context of the <b>Information Security</b>, what is the property of&nbsp;<i>Forward secrecy</i>?	<div><b>Note:&nbsp;</b>Forward secrecy is a property of communications systems in particular</div><div><b><br></b></div><div><b>Forward Secrecy </b>is the property that ensures past communications within the system remain secure even if the system is compromised in the future.</div><div>Equivalently, it ensures that an adversary who records encrypted information today cannot access or read it later, even if they eventually gain full control over the system (e.g. they gain access to the main encryption key).</div>	defn Forward-secrecy InfoSec week1
uz^urEgsOV	What are the 2 main approaches in defining the <b>security </b>of a system?&nbsp;	<ol><li><b>Binary model:</b> The approach that defines a system as either <b>secure</b> or <b>not secure </b>(no inbetween). The rule is that if a system meets every single security requirement/property, it is considered secure. Otherwise, it is considered insecure.</li><li><div><b>Risk-based Model:</b>&nbsp;A system is considered secure if it satisfies the security properties we care about to a degree that is acceptable. The idea is that since we know no system is 100% secure, we focus on making the level of security atleast good enough, balancing the cost of protection against the likelihood and damage of an attack.</div></li></ol>	InfoSec week1
edw4lCcDk}	What is the meaning of&nbsp;<i>threat modelling</i>?	Threat modelling is the process of identifying, categorising and prioritising potential security risks to a system&nbsp;<b>before</b>&nbsp;they happen	defn week1
KPV<y:2XyR	What is the <b>STRIDE</b> acronym/mnemonic in <i>Threat Modelling,&nbsp;and what do the letters stand for?</i>	<b>STRIDE</b> is a model used to identify and categorise threats into six main types of security threats.<br><br>The letters stand for:<br><b>S</b>poofing&nbsp;<br><b>T</b>ampering&nbsp;<br><b>R</b>epudiation<br><b>I</b>nformation Disclosure<br><b>D</b>enial of service&nbsp;<br><b>E</b>levation of privilege&nbsp;	defn STRIDE Threat_modelling week1
vpAJXZ[oH`	In the context of <b>STRIDE</b>, what does&nbsp;<i>Spoofing&nbsp;</i>involve, and what security property is violated by&nbsp;it??	<i>Spoofing </i>violates <b>Authenticity</b>. It occurs when an entity pretends to be a different person, system or message to gain access to a restricted system.	STRIDE Threat_modelling week1
r2r27`*YM.	In the context of <b>STRIDE</b>, what does&nbsp;<i>Tampering&nbsp;</i>involve, and what security property is violated by&nbsp;it??	<i>Tampering </i>violates <b>Integrity</b>. It involves the unauthorised modification of data, code or communication.	STRIDE Threat_modelling week1
OEn!2zMet4	In the context of <b>STRIDE</b>, what does&nbsp;<i>Information Disclosure </i>involve, and what security property is violated by&nbsp;it?	<i>Information Disclosure</i> violates <b>Confidentiality</b>. It involves exposing private or sensitive data to individuals who are not authorised to see it.	STRIDE Threat_modelling week1
ELWzV/E2_H	In the context of <b>STRIDE</b>, what does&nbsp;<i>Denial of Service&nbsp;</i>involve, and what security property is violated by&nbsp;it??	<i>Denial of Service</i> violates <b>Availability</b>. It occurs when an attacker crashes or slows down a system so that legitimate users cannot access it	STRIDE Threat_modelling week1
eL%W*2loK{	In the context of <b>STRIDE</b>, what does&nbsp;<i>Elevation of Privilege&nbsp;</i>involve, and what security property is violated by&nbsp;it??	<i>Elevation of Privilege</i> violates <i>Authorisation</i>. It occurs when a user gains more permissions or access rights to a system than they are supposed to have.	STRIDE Threat_modelling week1
MIFs,Ck$Ug	In the context of <b>STRIDE</b>, what does&nbsp;<i>Repudiation </i>involve, and what security property is violated by&nbsp;it?	<i>Repudiation </i>violates <b>Non-repudiation</b>. It occurs when a user denies performing an action because the system lacks sufficient evidence to prove they did it.	STRIDE Threat_modelling week1
OVEUo{-;%-	What is meant by a&nbsp;<i>threat</i>, and how does it differ from a&nbsp;<i>vulnerability?</i>	"A threat is a potential event or action that could cause harm, while a vulnerability is a weakness or flaw in a system that makes a threat possible. They differ in the sense that a threat is the ""what"", while a vulnerability is the ""how""<br>"	defn week1
E)q/HFc@,O	In the context of a <b>Web Server</b>, give two examples of a security <i>Threat</i>, an associated <i>Vulnerability</i>, and the <i>Security Principle</i> violated.	<div>1.)</div><div><b>Threat:</b> An attacker performing a Denial of Service (DoS) attack to take the web server down.</div><div><b>Vulnerability:</b>&nbsp;A lack of security measures within the system, such as <b>rate limiters</b> or <b>backup servers</b>, to handle excessive traffic or system failure.</div><div><b>Principle violated:</b> Availability</div><div><br></div><div>2.)</div><div><b>Threat:</b> An attacker gaining administrative access&nbsp;to take full control of the server</div><div><b>Vulnerability:</b> Running outdated server software that has a known, unpatched security flaw (a security exploit)</div><div><b>Principle Violated:&nbsp;</b>Authorisation</div>	question week1
"r#Ip#.uO)F"	In <b>Threat modelling</b>, what is <i>Likelihood </i>and what two main factors influence it?	"<div><b>Likelihood</b> is the probability that a threat will successfully exploit a vulnerability in the system.
It is mainly influenced by:</div><ol><li><b>Attacker Motivation: </b>How much will they benefit from exploiting the system? (e.g. For a bank, the likelihood of an attack is high as people want money).&nbsp;</li><li><b>Ease of Exploitation: </b>How easy is exploiting the vulnerability? (e.g. Does the attacker have the tools/skills to break the vault, and is the risk worth it?).</li></ol>"	Threat_modelling week1
C6NlMuLJv|	In <b>Threat modelling</b>, what is&nbsp;<i>Impact</i>?	<b>Impact</b> is the (moreso qualitative) measure of the total harm, loss or damage caused to an organisation if a threat is successfully exploited using a vulnerability within the system.	Threat_modelling week1
on`x2{~4OA	When creating a <i>threat model</i>, what are the 5 main factors we consider?	Threats<br>Vulnerabilities<br>Likelihood (of a threat exploiting a vulnerability)<br>Impact (Qualitative cost)<br>Cost (Quantitative cost)<br>	Threat_modelling week1
y})^$Aj$0V	In <b>Information Security</b>,<i>&nbsp;</i>what is a&nbsp;<i>Security Policy&nbsp;</i>and how does it differ from a <i>Security Mechanism</i>?	A <b>Security Policy</b> is a definition of the set of rules, roles and procedures an organisation must follow to protect its assets and interests, whereas a <b>Security Mechanism</b> is the technical tool or method that enforces the policy	defn InfoSec Threat_modelling week1
Q:EG2oXvIW	"Under what conditions is a system formally considered <b>""secure""</b>?"	A system is considered secure if an <b>adversary</b>, constrained by a specific <i>threat model</i>, cannot violate the <i>security policy</i>.	defn InfoSec Threat_modelling week1
qwnQ)J<4R;	What is a <i>Security Arguement</i>?	A <b>rigorous argument</b> or proof grounded by evidence demonstrating that the chosen <b>security mechanisms</b> are successfully maintaining the <b>security policy</b>, subject to the assumptions of the <b>threat model</b>.	defn InfoSec Threat_modelling week1
PH1^=;<S<A	What six (or seven...) key factors must a <b>Security Policy</b> address to be effective?	"A good policy should address:<br><b>Threats:</b> What/Who are we afraid of? (The Adversary)<br><b>Vulnerabilities:</b> Where are the system's weaknesses? <br><b>Likelihood:</b> How probable is a successful attack?<br><b>Impact:</b> How much harm will an attack cause if it happens?
<br><b>Protection:</b> What specific <b>security mechanisms </b>will we use to enforce the policy?<br>(User) <b>Goals: </b>Why are people using the system? How do we make the policy strict enough to maintain security but lax enough to make the system <b>usable </b>for the user's intended goals?"	human_centred InfoSec week1
D4`ZoMD@0w	In the context of <b>Human-Centred Security,</b><i>&nbsp;</i>what is meant by&nbsp;<i>usability?</i>	Usability is a&nbsp;measure of how well a specific user in a specific context can use a<br>product/design to achieve a defined goal effectively, efficiently and<br>satisfactorily.	human_centred InfoSec week1
DtPeqP`,Z8	What are the risks of making a security policy too restrictive or complex?	Overly secure systems can become <b>unusable,&nbsp;</b>causing:<ul><li><div><b>Workarounds:</b> Users bypass annoying security to save time (e.g., writing passwords on post it notes).</div></li><li><div><b>Non compliance (productivity-first behaviour):</b> Users prioritise <b>productivity</b> over safety to finish their work (e.g. transferring files over a fast tool like dropbox rather than a secure in-house one)</div></li><li><div><b>Human Error:</b> Complex rules increase the likelihood of accidental mistakes or using predictable patterns (e.g. reusing the same password with small changes)</div></li></ul>	human_centred week1
HDdJ%s8;nV	What are the <i>Saltzer and Schroeder</i> principles?	"A foundational set of <b>8 design principles</b> used to build secure and reliable computer systems. They provide a philosophy for security design, focusing on <b>simplicity</b>, <b>least privilege</b>&nbsp;and restricting access to the absolute minimum required for a task.<br><br>Read through this atleast once:&nbsp;<a href=""https://shostack.org/blog/the-security-principles-of-saltzer-and-schroeder"">https://shostack.org/blog/the-security-principles-of-saltzer-and-schroeder</a>"	defn saltzer_schroeder week2
QwmRItLDK{	What are the <b>8 security design principles</b> defined by <i>Saltzer and Schroeder</i>?	1.&nbsp;<b>E</b>conomy of Mechanism<br>2.  <b>L</b>east Privilege<br>3.  <b>L</b>east Common Mechanism<br>4. <b>F</b>ail-Safe Defaults<br><br>5. <b>C</b>omplete Mediation<br>6. <b>O</b>pen Design<br>7.  <b>P</b>sychological Acceptability<br>8. <b>S</b>eparation of Privilege<br><br>Mnemonic (courtesy of professor...): ELLF COPS	defn saltzer_schroeder week2
t3{4LUf]9g	What is the <i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Economy of Mechanism?</b>	<div>Keep the design and implementation of security measures as <b>simple and small</b> as possible.</div><div><br></div><div>Complex designs are harder to test, verify and more likely to contain hidden bugs or vulnerabilities. The idea is that the simpler the systems, the easier they are to understand, and the less likely they are to contain flaws</div>	defn saltzer_schroeder week2
zH];Fh6A5T	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Fail-safe Defaults?</b>	Base access decisions on <b>permission</b> rather than exclusion. The default action of the system should be to <b>deny access</b> to everyone (denial of service) unless a user is <b>explicitly allowed</b> to enter. <br><br>The idea is that it is better for an <i>authorised</i> entity to accidentally be <b>denied </b>access (easy to detect and fix), than to allow an <i>unauthorised </i>entity to accidentally be <b>granted </b>access (which could happen if the default is to give everyone access unless there is a reason not to, and is hard to detect and fix)	defn saltzer_schroeder week2
oL&L2$jRI-	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Complete Mediation?</b>	Every access to a system resource must be continuously checked for authority. Instead of just verifying permissions at login or initial access, the system must actively mediate and validate all subsequent actions. <br><br>This continuous verification ensures that if a user's rights are revoked while they are still logged in/accessing the system, they are immediately prevented from further interacting with the protected resource	defn saltzer_schroeder week2
PY>4I&l0d4	What is meant by <b>Security by Obscurity, </b>and<b> </b><i>why </i>does it<b> fail?</b>	"<b>Security by Obscurity</b> is a a flawed approach to <b>system security&nbsp;</b>where protection relies entirely on hiding how the system works (its code, architecture or mechanics). It assumes attackers simply won't figure out the hidden flaws.<br><br>It fails because secrecy is fragile. Once an attacker reverse-engineers or leaks the ""secret"" design, the entire defense can collapse since there may be no actual strong barriers (like proper encryption or access controls) stopping them."	defn week2
L}o]e+;!xp	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Open Design?</b>	The security of a system should not depend on the secrecy of its design or implementation. Instead of relying on <b>Security by Obscurity,</b>&nbsp;the architecture should be assumed public, with protection relying entirely on specific, easily changeable secrets like passwords or cryptographic keys.&nbsp;<br><br>The core idea is that a system must remain secure even if an attacker knows exactly how it is designed. Security should rely on them not having the <i>means</i> (e.g. a cryptographic key) to bypass it, rather than not knowing how it works	defn saltzer_schroeder week2
D|6U</1@s!	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Separation of Privilege?</b>	<div>A system should require multiple independent conditions, keys or parties to authorise access to highly sensitive resources. Rather than letting one mechanism or person control the entire decision, authorisation/access is divided into multiple distinct requirements, kind of like a secure bank vault that requires two separate keys held by two different people to open.</div><div><br></div><div>This ensures that a single point of failure, such as one compromised password or a single rogue employee, cannot independently breach the system.<br></div>	defn saltzer_schroeder week2
FV:E-s%^98	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Least Privilege?</b>	Every user, program or process must operate using only the absolute <b>minimum permissions necessary </b>to complete its specific job. By strictly limiting access rights to only what is required, we minimise the <i>impact </i>of a security breach.<br><br>For instance, if an attacker compromises a standard account, they are trapped within those limited, non-admin permissions. This prevents them from causing widespread damage or taking over the entire system.	defn saltzer_schroeder week2
bOp!Txv&[I	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Least Common Mechanism?</b>	The security design should minimise the amount of shared resources or state between different users and processes. The idea is that shared mechanisms, like shared memory, temporary files or network paths, creates channels through which information could leak from one user to another, or where one user's actions could disrupt everyone else's. Isolating users prevents potential cross-interference.<br><br>For example on a computer with multiple user accounts, one user should not be able to see the files of another user, even on the same computer.	defn saltzer_schroeder week2
o{Vh07.n![	What is the&nbsp;<i>Saltzer and Schroeder&nbsp;</i>pinciple of&nbsp;<b>Psychological Acceptability?</b>	Security mechanisms must be easy to use and transparent. If a security requirement is too complex or frustrating, users will find workarounds to bypass it, such as writing passwords on post it notes or leaving secure doors open.<br><br>The core idea is that a system is secure only if the people using it readily accept the measures and follow them routinely without feeling burdened.	defn saltzer_schroeder week2
JVY%0>}Ei?	What is the&nbsp;<b>security design&nbsp;principle</b>&nbsp;of <i>Defense in Depth?</i>	Design the system with multiple layers of security mechanisms so it can resist an attack even if one layer is bypassed. <br><br>This ensures that a single vulnerability or point of failure does not allow an attacker to gain complete control of the system. As a last resort, if an error cannot be handled, intentionally crash or shut down the system. A temporary outage is always safer than remaining online and allowing potential data theft or unauthorised access.	defn week2
OWm9qK:J|g	What is the&nbsp;<b>security design&nbsp;principle</b>&nbsp;of&nbsp;<i>Design for Updating</i><b>?</b>	Plan for the safe and reliable installation of security patches. Since no system remains permanently free from vulnerabilities forever, developers must build a secure, structured mechanism to update the system as new flaws are discovered.	defn week2
j[cQ2PiIuG	What is the&nbsp;<b>security design&nbsp;principle</b>&nbsp;of&nbsp;<i>Prudent Paranoia?</i>	Assume the system operates in a hostile environment and will inevitably face attacks from adversaries.<br><br>Design defenses anticipating that breaches will occur, without underestimatting the effort an adversary will go to. Security design should be proactive rather than reactive.<br><br>Do not trust any user, input or internal component without verification.	defn week2
"s|#Q^?s&Wl"	What is the&nbsp;<b>security design&nbsp;principle</b>&nbsp;of&nbsp;<i>Privacy Promotion?</i>	Design systems to protect user privacy by default (to abide with GDPR laws). Minimise the collection, use and retention of personal data to only what is absolutely necessary.<br><br>Ensure that sensitive information is never exposed, tracked without consent or used beyond its original and intended purpose.	defn week2
gJ&=Rd`[ZJ	What is a <b>URL</b>, and what are its 3 main components?	<div>A <b>URL&nbsp;</b>(Uniform Resource Locator) is a standard string used to locate resources/files on a network. Its 3 main components (with respect to example URL&nbsp;<code>https://website.com/hi</code>) are:&nbsp;</div><div><b>&nbsp;</b></div><div><b>1.) Protocol Specifier:</b> Specifies the network protocol (rules of communication) to be used (e.g.&nbsp;<code>https://)</code></div><div><b>2.) Domain Name (Host):</b> The server's human-readable address (e.g.&nbsp;<code>website.com</code>).</div><div><b>3</b>.)&nbsp;<b>Page Location (Path):</b> The specific file or directory to be requested from that server (e.g.&nbsp;<code>/hi.html</code>)<br></div>	defn networking week2
G|DgU,2:yw	What is the <b>Domain Name System</b> (DNS)?&nbsp;	The DNS is a distributed, hierarchical naming system used to translate human-readable domain names (e.g. google.com) into numerical <b>IP addresses</b>. <br><br>It <b>consists of</b> a global network of <b>domain name servers</b> that partition and store data across different levels (Root, TLD, Authoritative). This allows computers to locate a specific host server so that <b>requests</b> can be <b>routed</b> to it.	defn networking week2
t_]?VEW)r]	What is the difference between&nbsp;the <b>Domain Name System (DNS)</b>&nbsp;and a&nbsp;<i>Domain Name Server?</i>	<div></div>The <b>Domain Name Sysem </b>is&nbsp;the overall system, protocol and global hierarchy used to translate names to IP addresses, whereas a <b>Domain Name Server</b>&nbsp;is a specific <b>computer/server</b>&nbsp;within that system that stores naming data and responds to requests.<br>	defn networking week2
"eP#Ff8w!ne"	In the context of <b>Networking</b>, what is&nbsp;<i>Domain Name Resolution?</i>	Domain Name Resolution is the process performed by the <b>DNS</b> to translate a human-readable domain name into its numerical <b>IP address</b>.<br><br><div>This involves a <b>top-down search</b> through the DNS hierarchy: the <b>Root</b> server redirects the query based on the <b>extension</b> (e.g. .com) to a <b>TLD</b> server, which then redirects the query based on the <b>domain name</b> (e.g. bob.com) until it reaches the <b>Authoritative</b> server, which provides the final <b>IP address</b><br></div>	defn networking week2
vViVUW=IhI	What are the two main <b>Networking </b>steps required to access a <i>website?</i>	<b>1.) Locating the IP address:</b>&nbsp;Using the&nbsp;<b>DNS</b>&nbsp;to translate the human-readable domain name (found within the URL) into the host's numerical&nbsp;<b>IP address</b>.<br><br><b>2.)&nbsp;Requesting the Content:</b>&nbsp;Using the IP address obtained from the&nbsp;<b>DNS&nbsp;</b>to send&nbsp;<b>data packets</b>&nbsp;containing the request (abiding by the network protocol specified in the URL) the host server so it can send the website content back. This is usually either done through&nbsp;<b>Leased Lines&nbsp;</b>or the&nbsp;<b>Internet's infastructure (Internet backbone)</b>	networking week2
Bl`eG!8$^~	In the context of&nbsp;<b>Networking,&nbsp;</b>what is a&nbsp;<i>Packet?</i>	<div>A packet is a <b>formatted </b>(format specified by network protocol) <b>unit of data</b> that travels across a network. Large files or requests are broken down into a sequence of smaller chunks (packets) to make them easier to transmit and route efficiently.</div><div><br></div><div>A packet contains two main things:</div><div>1.)&nbsp;<b>The Payload</b>, which is the&nbsp;actual piece of content being sent (e.g., part of a photo or a line of code)</div><div>2.)&nbsp;<b>The Header</b>, which contains the metadata required for delivery and reassembly. It identifies the <b>source </b>and <b>destination IP addresses</b> for routing and includes <b>sequence numbers</b> so the receiving computer knows how to put the packets back together in the correct order. It also contains other information, like a packet's Time to Live (TTL)</div>	defn networking week2
kd:ggB(f1/	In the context of&nbsp;<b>Networking</b><i>,</i>&nbsp;what are&nbsp;<b><i>Leased Lines</i></b> and what are their trade-offs?	<div>A leased line is a <b>direct, private connection</b> used as a method of transmitting data between two specific locations. It allows data to travel through an uncontended path that bypasses the public internet.<br></div><div><br></div><div><b>Pros:</b></div><ul><li><b>Incredibly fast: </b>Since the line is dedicated, there is no competition for bandwidth</li><li><b>Reliable:&nbsp;</b>Network performance is alot more consistent because there is no typical public network congestion</li><li><b>Secure: </b>Data is transmitted over a private path, making it much harder to intercept</li></ul><div><b>Cons:</b></div><ul><li><b>Incredibly expensive: </b>The cost of renting or maintaining a dedicated physical connection is significantly higher than using existing public infrastructure</li></ul>	defn networking week2
"Dbl(yt*s#q"	What is the <b>Internet Backbone</b>?	Essentially the physical infastructure of the internet. It is the global network of high-speed fiber-optic cables and core routers that provides the main data routes used to connect different networks (global networks, ISPs) across the world.	defn networking week2
w[e{}dJk%8	In&nbsp;<b>Networking</b>, what is a packet's Time to Live (TTL) and why is it necessary?	"<div><b></b>TTL is a value (usually 8 bits) in the <b>packet header</b> that sets a limit on how long a packet can travel through the network.&nbsp;</div><div><br></div><div>Its purpose is to prevent packets from getting stuck in an infinite loop (going around in a circle) if they can't find their destination.</div><div><br></div><div>Every time a packet passes through a router (a ""hop""), the TTL value is decreased by one. If the TTL reaches zero before the packet reaches its destination, the packet is ""killed"" or discarded.</div>"	networking week2
AIB=Y7qHW/	&nbsp;What is the main difference between <i>HTTP </i>and <i>HTTPS?</i>	<div><b>HTTP</b> (Hypertext Transfer Protocol) and <b>HTTPS</b> (Hypertext Transfer Protocol <i>Secure</i>) are both networking protocols, however, unlike HTTP, HTTPS requires that the entire communication be <b>encrypted.</b></div><div><b><br></b></div><div>This means that if HTTPS packets are intercepted/stolen (e.g. via a Man-in-the-middle attack), the data is unreadable to an attacker without the proper decryption key. In contrast, HTTP transmits data in <b>plaintext</b> with no encryption, meaning any intercepted data is immediately readable by unauthorised parties.</div>	networking week2
m:QN.nE4b<	What is the complete end-to-end process of accessing a website, from URL entry to the request being fulfilled? (long answer)	<b></b><div><div>First, the requesting device uses the <b>DNS</b> to translate the human-readable domain name from the <b>URL</b> into the host's numerical <b>IP address</b>.</div><div><br></div><div>Once the IP address is identified, the device sends a request following the rules of the <b>network protocol</b> (like HTTPS) specified in the URL. This request is split into many <b>packets</b>, each containing a <b>header</b> (with its sequence number and <b>Time to Live,&nbsp;</b>among other things) and the <b>payload </b>(actual data) to navigate the physical network infrastructure - either the public <b>Internet Backbone</b> or a private <b>Leased Line</b>.</div><div><br></div><div>When the <b>host server</b> receives the request packets, it processes them and prepares a <b>response</b> containing the website's data. The response is then sent to the requesting device (host server know the requester's <b>IP address</b>). This response is also split into <b>packets</b> with their own headers and TTL values to safely navigate back through the routers without getting stuck.</div><div><br></div><div>When the packets arrive back at the requesting device, it uses the sequence numbers in the headers to <b>reconstruct</b> the data so the browser can <b>render the HTML</b> and display the site.</div></div>	networking week2
xSz>r:MS8x	What are two examples of <b>human limitations</b> that impact security? (4 marks)	<div>One limitation is <b>human memory</b>. Humans can struggle to remember long, complex and unique passwords for every account, often leading to password reuse or writing passwords down, which can be a problem for the security of a system that depends on passwords.</div><div><br></div><div>Another limitation is that humans tend to have a <b>productivity-first mindset</b> (e.g. a preference for efficiency). This means that if a security policy is deemed too slow or inconvenient for a user, they may attempt to circumvent or find workarounds for the security policy, which could create vulnerabilities.</div><div><br></div><div>(sidenote) Other possible limitations:&nbsp;</div><div><ul><li>Susceptibility to social engineering (might reveal information to someone they shouldnt reveal it to)</li><li>Limited technical literacy (humans might not have a good mental model of how things like the internet work, leading to wrong assumptions e.g. the padlock icon doesnt mean that a site is safe, only that it is encrypted)</li><li>Human fatigue e.g. a tired person might press the wrong button and accidentally grant permissions to something they shouldn't have</li><li>Human ego/Optimism bias e.g. a person may think that there is no way&nbsp;<i>they</i>&nbsp;would fall for a cyber attack, causing them to maybe neglect certain security precautions (like having a good password)&nbsp;</li></ul></div>	human_centred question week1
lgF:foF&mK	Requesting more permissions than needed is a violation of which of the&nbsp;<i>Saltzer and Schroeder's</i> design principles?<br><br>Briefly&nbsp;<b>describe&nbsp;</b>the principle, and&nbsp;<b>why&nbsp;</b>it is being violated.	This is a violation of the principle of<b> Least Privilege</b>. The principle states that every user or program should operate using only the <b>minimum set of privileges</b> necessary to complete their task. Requesting excess permissions creates unnecessary security risks if the account or program is compromised, making it a violation of this principle.	question saltzer_schroeder week2
B!,<M(%}:a	A new user account is created with full administrative access by default, requiring an admin to manually restrict them.&nbsp;<br><br>This is a violation of which&nbsp;<i>Saltzer and Schroeder</i>&nbsp;principle<b>?&nbsp;</b>Briefly <b>describe </b>the principle, and <b>why </b>it is being violated.	This is a violation of the <b>Fail-safe Defaults</b> principle. The principle states that access decisions should be based on permission rather than exclusion, meaning the default state should be to&nbsp;<b>deny</b> access rather than grant it. By defaulting to <b>allowing access,&nbsp;</b>the principle is violated.	question saltzer_schroeder week2
tlxZ.pqcj<	A company uses a secret, proprietary encryption algorithm that has never been peer-reviewed, believing secrecy makes it more secure. <br><br>This is a violation of which&nbsp;<i>Saltzer and Schroeder</i>&nbsp;principle<b>?&nbsp;</b>Briefly&nbsp;<b>describe&nbsp;</b>the principle, and&nbsp;<b>why&nbsp;</b>it is being violated.	This is a violation of the <b>Open Design</b> principle. The principle states that the security of a system should not depend on the secrecy of its design or its overall implementation, but rather on specific secrets like cryptographic keys. <br><br>In this example, the company is relying on <b>Security by Obscurity</b>, which violates the principle because the security is tied to the secrecy of the algorithm itself rather than its robustness against an attacker that may have full knowledge of how it works (e.g. in the event that the secret security design is leaked).	question saltzer_schroeder week2
EYGJ?^T64b	A single administrative password allows an employee to access the company’s email server, financial records and employee medical files all at once. <br><br>This is a violation of which&nbsp;<i>Saltzer and Schroeder</i>&nbsp;principle<b>?&nbsp;</b>Briefly&nbsp;<b>describe&nbsp;</b>the principle, and&nbsp;<b>why&nbsp;</b>it is being violated.	"<div>This is a violation of the <b>Separation of Privilege</b> principle. The principle states that access to critical data/functions should depend on more than one condition or ""key"" being met.</div><div><br></div><div>This scenario violates the principle because it utilizes a <b>single point of failure. </b>The system should have instead separated access to the email server, financial records and medical files between different passwords or authorised individuals to ensure one compromise/leak doesn't expose everything.</div>"	question saltzer_schroeder week2
